,st,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
491,Karl Glusman,Karl Glusman,1988-0-0,NA,"['Love', 'The Neon Demon', 'Nocturnal Animals', 'Devs']",NA,NA,https://www.imdb.com/name/nm3194762/?ref_=adv_li_st_1,https://www.imdb.com/name/nm3194762/awards?ref_=nm_ql_2
492,Jacob Tremblay(I),Jacob Tremblay,2010/5/6,"Vancouver, British Columbia, Canada","['Room', 'Wonder', 'Before I Wake', 'The Predator']",21,35,https://www.imdb.com/name/nm5016878/?ref_=adv_li_st_1,https://www.imdb.com/name/nm5016878/awards?ref_=nm_ql_2
493,Kurt Russell(I),Kurt Russell,3/17/51,"Springfield, Massachusetts, USA","['The Hateful Eight', 'Escape from L.A.', 'Executive Decision', 'Tango & Cash']",6,13,https://www.imdb.com/name/nm0000621/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000621/awards?ref_=nm_ql_2
494,Michael Douglas(I),Michael Douglas,9/25/44,"New Brunswick, New Jersey, USA","['Wall Street', 'Behind the Candelabra', 'Basic Instinct', 'Fatal Attraction']",51,43,https://www.imdb.com/name/nm0000140/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000140/awards?ref_=nm_ql_2
495,Jamie Dornan,Jamie Dornan,5/1/82,"Belfast, Northern Ireland, UK","['Fifty Shades of Grey', 'The Fall', 'Anthropoid', 'Marie Antoinette']",7,7,https://www.imdb.com/name/nm1946193/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1946193/awards?ref_=nm_ql_2
496,Jason Clarke(I),Jason Clarke,7/17/69,"Winton, Queensland, Australia","['Zero Dark Thirty', 'Mudbound', 'Everest', 'Terminator Genisys']",3,8,https://www.imdb.com/name/nm0164809/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0164809/awards?ref_=nm_ql_2
497,Steve Carell,Steve Carell,8/16/62,"Concord, Massachusetts, USA","['The Office', 'The 40 Year Old Virgin', 'Foxcatcher', 'Little Miss Sunshine']",33,130,https://www.imdb.com/name/nm0136797/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0136797/awards?ref_=nm_ql_2
498,Bryce Dallas Howard,Bryce Dallas Howard,3/2/81,"Los Angeles, California, USA","['Jurassic World', 'The Help', 'Gold']",19,26,https://www.imdb.com/name/nm0397171/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0397171/awards?ref_=nm_ql_2
499,Ralph Ineson,Ralph Ineson,12/15/69,"Leeds, West Yorkshire, England, UK","['The VVitch: A New-England Folktale', 'Guardians of the Galaxy', 'The Ballad of Buster Scruggs', 'Harry Potter and the Deathly Hallows: Part 2']",0,4,https://www.imdb.com/name/nm0408591/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0408591/awards?ref_=nm_ql_2
500,Lorenza Izzo,Lorenza Izzo,9/19/89,"Las Condes, Santiago, Región Metropolitana, Chile","['The House with a Clock in Its Walls', 'Life Itself', 'Feed the Beast', 'Sex Ed']",0,1,https://www.imdb.com/name/nm4448022/?ref_=adv_li_st_1,https://www.imdb.com/name/nm4448022/awards?ref_=nm_ql_2
501,John Boyega,John Boyega,3/17/92,"Peckham, London, England, UK","['Star Wars: Episode VII - The Force Awakens', 'Attack the Block', 'Pacific Rim: Uprising', 'Star Wars: Episode VIII - The Last Jedi']",8,19,https://www.imdb.com/name/nm3915784/?ref_=adv_li_st_1,https://www.imdb.com/name/nm3915784/awards?ref_=nm_ql_2
502,Sylvester Stallone,Sylvester Stallone,7/6/46,"New York City, New York, USA","['Rocky', 'Rocky IV', 'Creed', 'Rocky III']",57,66,https://www.imdb.com/name/nm0000230/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000230/awards?ref_=nm_ql_2
503,Michiel Huisman,Michiel Huisman,7/18/81,"Amstelveen, Noord-Holland, Netherlands","['The Age of Adaline', 'Harley and the Davidsons', 'Game of Thrones', 'Treme']",1,5,https://www.imdb.com/name/nm0401264/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0401264/awards?ref_=nm_ql_2
504,Christina Applegate,Christina Applegate,11/25/71,"Hollywood, Los Angeles, California, USA","['The Sweetest Thing', 'Bad Moms', 'Married with Children', 'Anchorman 2: The Legend Continues']",14,27,https://www.imdb.com/name/nm0000775/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000775/awards?ref_=nm_ql_2
505,Alicia Vikander,Alicia Vikander,10/3/88,"Gothenburg, Västra Götalands län, Sweden","['Ex Machina', 'The Danish Girl', 'The Man from U.N.C.L.E.', 'Testament of Youth']",52,56,https://www.imdb.com/name/nm2539953/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2539953/awards?ref_=nm_ql_2
506,Michael Keaton,Michael Keaton,9/5/51,"Coraopolis, Pennsylvania, USA","['Birdman or (The Unexpected Virtue of Ignorance)', 'Spotlight', 'The Founder', 'Beetlejuice']",64,40,https://www.imdb.com/name/nm0000474/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000474/awards?ref_=nm_ql_2
507,Emayatzy Corinealdi,Emayatzy Corinealdi,1/14/80,"Fort Knox, Kentucky, USA","['Middle of Nowhere', 'Roots', 'The Invitation', 'Hand of God']",2,6,https://www.imdb.com/name/nm1538675/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1538675/awards?ref_=nm_ql_2
508,Rebecca Ferguson(I),Rebecca Ferguson,10/19/83,Sweden,"['Mission: Impossible - Rogue Nation', 'Mission: Impossible - Fallout', 'Life', 'Despite the Falling Snow']",5,6,https://www.imdb.com/name/nm0272581/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0272581/awards?ref_=nm_ql_2
509,Ed Oxenbould,Ed Oxenbould,2006/1/1,"Melbourne, Victoria, Australia","['The Visit', 'Alexander and the Terrible, Horrible, No Good, Very Bad Day', 'Better Watch Out', 'Paper Planes']",6,9,https://www.imdb.com/name/nm4590837/?ref_=adv_li_st_1,https://www.imdb.com/name/nm4590837/awards?ref_=nm_ql_2
510,Kate Mara(I),Kate Mara,2/27/83,"Bedford, New York, USA","['Fantastic Four', 'Happythankyoumoreplease', 'Shooter', '127 Hours']",2,5,https://www.imdb.com/name/nm0544718/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0544718/awards?ref_=nm_ql_2
511,Ang Phula Sherpa,Ang Phula Sherpa,NA,NA,NA,NA,NA,https://www.imdb.com/name/nm7583273/?ref_=adv_li_st_1,https://www.imdb.com/name/nm7583273/awards?ref_=nm_ql_2
512,Terry Crews(I),Terry Crews,7/30/68,"Flint, Michigan, USA","['Cloudy with a Chance of Meatballs 2', 'Idiocracy', 'The Expendables', 'The Expendables 3']",0,18,https://www.imdb.com/name/nm0187719/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0187719/awards?ref_=nm_ql_2
513,Margot Robbie,Margot Robbie,7/2/90,"Dalby, Queensland, Australia","['Suicide Squad', 'The Wolf of Wall Street', 'I, Tonya', 'The Legend of Tarzan']",14,63,https://www.imdb.com/name/nm3053338/?ref_=adv_li_st_1,https://www.imdb.com/name/nm3053338/awards?ref_=nm_ql_2
514,Imogen Poots,Imogen Poots,6/3/89,"London, England, UK","['Green Room', '28 Weeks Later', 'That Awkward Moment', 'A Long Way Down']",3,2,https://www.imdb.com/name/nm1782299/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1782299/awards?ref_=nm_ql_2
515,Cleo Berry,Cleo Berry,2/10/84,"Little Rock, Arkansas, USA","['The Sand', 'House M.D.', 'Idiotsitter', 'School of Rock']",NA,NA,https://www.imdb.com/name/nm3075157/?ref_=adv_li_st_1,https://www.imdb.com/name/nm3075157/awards?ref_=nm_ql_2
516,Emory Cohen,Emory Cohen,3/13/90,"New York City, New York, USA","['Brooklyn', 'The Place Beyond the Pines', 'The OA', 'War Machine']",3,8,https://www.imdb.com/name/nm1710309/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1710309/awards?ref_=nm_ql_2
517,Corey Hawkins(II),Corey Hawkins,10/22/88,"Washington, District of Columbia, USA","['Straight Outta Compton', 'Kong: Skull Island', 'BlacKkKlansman', 'Iron Man Three']",2,6,https://www.imdb.com/name/nm3659660/?ref_=adv_li_st_1,https://www.imdb.com/name/nm3659660/awards?ref_=nm_ql_2
518,Rose Leslie,Rose Leslie,2/9/87,"Aberdeen, Scotland, UK","['The Last Witch Hunter', 'Honeymoon', 'Game of Thrones', 'Morgan']",1,2,https://www.imdb.com/name/nm3310211/?ref_=adv_li_st_1,https://www.imdb.com/name/nm3310211/awards?ref_=nm_ql_2
519,Rebel Wilson,Rebel Wilson,3/2/80,"Sydney, New South Wales, Australia","['Pitch Perfect', ""Isn't It Romantic"", 'Bridesmaids', 'How to Be Single']",6,18,https://www.imdb.com/name/nm2313103/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2313103/awards?ref_=nm_ql_2
520,Diane Lane(I),Diane Lane,1/22/65,"New York City, New York, USA","['Unfaithful', 'Under the Tuscan Sun', 'Inside Out', 'Man of Steel']",15,32,https://www.imdb.com/name/nm0000178/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000178/awards?ref_=nm_ql_2
521,Cillian Murphy,Cillian Murphy,5/25/76,"Douglas, Cork, Ireland","['28 Days Later...', 'Inception', 'Red Eye', 'Sunshine']",6,37,https://www.imdb.com/name/nm0614165/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0614165/awards?ref_=nm_ql_2
522,Dev Patel(I),Dev Patel,4/23/90,"Harrow, London, England, UK","['Slumdog Millionaire', 'Lion', 'Chappie', 'The Last Airbender']",19,39,https://www.imdb.com/name/nm2353862/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2353862/awards?ref_=nm_ql_2
523,Doga Zeynep Doguslu,Doga Zeynep Doguslu,NA,NA,"['Mustang', 'Deli gönül', 'Kalp Atisi', 'Babam ve Ailesi']",6,1,https://www.imdb.com/name/nm7322144/?ref_=adv_li_st_1,https://www.imdb.com/name/nm7322144/awards?ref_=nm_ql_2
524,Jon Hamm(I),Jon Hamm,3/10/71,"St. Louis, Missouri, USA","['Mad Men', 'The Town', 'Million Dollar Arm', 'Baby Driver']",18,82,https://www.imdb.com/name/nm0358316/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0358316/awards?ref_=nm_ql_2
525,Judy Davis(I),Judy Davis,4/23/55,"Perth, Western Australia, Australia","['The Dressmaker', 'Husbands and Wives', 'Barton Fink', 'Naked Lunch']",46,53,https://www.imdb.com/name/nm0001114/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0001114/awards?ref_=nm_ql_2
526,Ryan Guzman,Ryan Guzman,9/21/87,"Abilene, Texas, USA","['The Boy Next Door', 'Everybody Wants Some!!', 'Step Up Revolution']",0,1,https://www.imdb.com/name/nm4554428/?ref_=adv_li_st_1,https://www.imdb.com/name/nm4554428/awards?ref_=nm_ql_2
527,Bella Thorne(I),Bella Thorne,10/8/97,"Pembroke Pines, Florida, USA","['The Duff', 'Blended', 'Scream: The TV Series', 'The Babysitter']",7,23,https://www.imdb.com/name/nm2254074/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2254074/awards?ref_=nm_ql_2
528,Joe Manganiello,Joe Manganiello,12/28/76,"Pittsburgh, Pennsylvania, USA","['Justice League', 'True Blood', 'Magic Mike XXL', ""Pee-wee's Big Holiday""]",2,2,https://www.imdb.com/name/nm0542133/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0542133/awards?ref_=nm_ql_2
529,Robert De Niro,Robert De Niro,8/17/43,"New York City, New York, USA","['Raging Bull', 'Cape Fear', 'Taxi Driver', 'Mean Streets']",56,98,https://www.imdb.com/name/nm0000134/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000134/awards?ref_=nm_ql_2
530,Luke Bracey,Luke Bracey,NA,NA,"['Point Break', 'G.I. Joe: Retaliation', 'The Best of Me', 'The November Man']",NA,NA,https://www.imdb.com/name/nm3478396/?ref_=adv_li_st_1,https://www.imdb.com/name/nm3478396/awards?ref_=nm_ql_2
531,Seth MacFarlane,Seth MacFarlane,10/26/73,"Kent, Connecticut, USA","['Family Guy', 'American Dad!', 'Ted', 'A Million Ways to Die in the West']",22,57,https://www.imdb.com/name/nm0532235/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0532235/awards?ref_=nm_ql_2
532,Mark Rylance,Mark Rylance,1/18/60,"Ashford, Kent, England, UK","['Bridge of Spies', 'Dunkirk', 'The BFG', 'The Gunman']",21,37,https://www.imdb.com/name/nm0753314/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0753314/awards?ref_=nm_ql_2
533,Logan Miller(I),Logan Miller,2/18/92,"Colorado, USA","['Scouts Guide to the Zombie Apocalypse', 'Love, Simon', 'Ghosts of Girlfriends Past', 'Before I Fall']",2,0,https://www.imdb.com/name/nm2383250/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2383250/awards?ref_=nm_ql_2
534,Jeremy Irons,Jeremy Irons,9/19/48,"Cowes, Isle of Wight, England, UK","['Dead Ringers', 'The Lion King', 'Batman v Superman: Dawn of Justice', 'Reversal of Fortune']",31,31,https://www.imdb.com/name/nm0000460/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000460/awards?ref_=nm_ql_2
535,Dylan Minnette,Dylan Minnette,12/29/96,NA,"['Prisoners', 'Alexander and the Terrible, Horrible, No Good, Very Bad Day', 'Let Me In', ""Don't Breathe""]",3,6,https://www.imdb.com/name/nm1910255/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1910255/awards?ref_=nm_ql_2
536,Wes Bentley,Wes Bentley,9/4/78,"Jonesboro, Arkansas, USA","['American Beauty', 'The Hunger Games', 'Interstellar', 'P2']",5,11,https://www.imdb.com/name/nm0004747/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0004747/awards?ref_=nm_ql_2
537,Alison Brie,Alison Brie,12/29/82,"Los Angeles County, California, USA","['The Lego Movie', 'Community', 'Sleeping with Other People', 'The Five-Year Engagement']",7,21,https://www.imdb.com/name/nm1555340/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1555340/awards?ref_=nm_ql_2
538,Natalie Martinez(I),Natalie Martinez,7/12/84,"Miami, Florida, USA","['Death Race', 'End of Watch', 'Self/less', 'Broken City']",NA,NA,https://www.imdb.com/name/nm2358540/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2358540/awards?ref_=nm_ql_2
539,Anne-Marie Duff,Anne-Marie Duff,10/8/70,"Southall, London, England, UK","['Nowhere Boy', 'Suffragette', 'Shameless', 'The Virgin Queen']",9,15,https://www.imdb.com/name/nm0240359/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0240359/awards?ref_=nm_ql_2
540,Holly Weston(III),Holly Weston,NA,NA,"['The Collection', 'The Danish Girl', 'Howl', 'White Heat']",NA,NA,https://www.imdb.com/name/nm1530334/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1530334/awards?ref_=nm_ql_2
541,Benedict Cumberbatch,Benedict Cumberbatch,7/19/76,"Hammersmith, London, England, UK","['The Imitation Game', 'Star Trek Into Darkness', 'August: Osage County', 'Doctor Strange']",31,109,https://www.imdb.com/name/nm1212722/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1212722/awards?ref_=nm_ql_2
542,Tim Roth(I),Tim Roth,5/14/61,"London, England, UK","['Rob Roy', 'The Hateful Eight', 'Pulp Fiction', 'Planet of the Apes']",18,25,https://www.imdb.com/name/nm0000619/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000619/awards?ref_=nm_ql_2
543,Kevin Hart(I),Kevin Hart,7/6/79,"Philadelphia, Pennsylvania, USA","['Ride Along', 'Central Intelligence', 'Grudge Match', 'The Secret Life of Pets']",16,34,https://www.imdb.com/name/nm0366389/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0366389/awards?ref_=nm_ql_2
544,Nicholas Hoult,Nicholas Hoult,12/7/89,"Wokingham, Berkshire, England, UK","['Mad Max: Fury Road', 'About a Boy', 'Warm Bodies', 'X-Men: Days of Future Past']",10,13,https://www.imdb.com/name/nm0396558/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0396558/awards?ref_=nm_ql_2
545,RJ Cyler,RJ Cyler,3/21/95,"Jacksonville, Florida, USA","['Me and Earl and the Dying Girl', 'Power Rangers', 'War Machine', 'Sierra Burgess Is a Loser']",1,5,https://www.imdb.com/name/nm5518972/?ref_=adv_li_st_1,https://www.imdb.com/name/nm5518972/awards?ref_=nm_ql_2
546,Emmanuel Affadzi,Emmanuel Affadzi,NA,NA,NA,NA,NA,https://www.imdb.com/name/nm7636995/?ref_=adv_li_st_1,https://www.imdb.com/name/nm7636995/awards?ref_=nm_ql_2
547,Jared Leto,Jared Leto,12/26/71,"Bossier City, Louisiana, USA","['Dallas Buyers Club', 'Suicide Squad', 'Requiem for a Dream', 'The Thin Red Line']",50,35,https://www.imdb.com/name/nm0001467/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0001467/awards?ref_=nm_ql_2
548,Anya Taylor-Joy,Anya Taylor-Joy,4/16/96,"Miami, Florida, USA","['The VVitch: A New-England Folktale', 'Morgan', 'Split', 'Glass']",10,14,https://www.imdb.com/name/nm5896355/?ref_=adv_li_st_1,https://www.imdb.com/name/nm5896355/awards?ref_=nm_ql_2
549,Reese Witherspoon,Reese Witherspoon,3/22/76,"New Orleans, Louisiana, USA","['Wild', 'Legally Blonde', 'Walk the Line', 'Election']",54,103,https://www.imdb.com/name/nm0000702/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000702/awards?ref_=nm_ql_2
550,Katherine Waterston,Katherine Waterston,3/3/80,"Westminster, London, England, UK","['Inherent Vice', 'Fantastic Beasts and Where to Find Them', 'Alien: Covenant', 'Fantastic Beasts: The Crimes of Grindelwald']",2,10,https://www.imdb.com/name/nm2239702/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2239702/awards?ref_=nm_ql_2
518,Chris Pratt(I),Chris Pratt,6/21/79,"Virginia, Minnesota, USA","['Guardians of the Galaxy', 'The Lego Movie', 'Parks and Recreation', 'Jurassic World']",17,32,https://www.imdb.com/name/nm0695435/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0695435/awards?ref_=nm_ql_2
519,Morena Baccarin,Morena Baccarin,6/2/79,"Rio de Janeiro, Rio de Janeiro, Brazil","['Deadpool', 'Serenity', 'Deadpool 2', 'V']",2,13,https://www.imdb.com/name/nm1072555/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1072555/awards?ref_=nm_ql_2
520,Henry Cavill,Henry Cavill,5/5/83,"Jersey, Channel Islands","['Man of Steel', 'Batman v Superman: Dawn of Justice', 'Justice League', 'Mission: Impossible - Fallout']",3,12,https://www.imdb.com/name/nm0147147/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0147147/awards?ref_=nm_ql_2
521,Chiwetel Ejiofor,Chiwetel Ejiofor,7/10/77,"Forest Gate, London, England, UK","['12 Years a Slave', 'Dirty Pretty Things', 'Serenity', '2012']",55,75,https://www.imdb.com/name/nm0252230/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0252230/awards?ref_=nm_ql_2
522,Jason Bateman,Jason Bateman,1/14/69,"Rye, New York, USA","['Arrested Development', 'Zootopia', 'Bad Words', 'Identity Thief']",14,48,https://www.imdb.com/name/nm0000867/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000867/awards?ref_=nm_ql_2
523,Ana Wagener,Ana Wagener,1962-0-0,NA,"['Biutiful', 'The Invisible Guest', 'El reino', 'La voz dormida']",10,12,https://www.imdb.com/name/nm0905676/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0905676/awards?ref_=nm_ql_2
524,Diego Luna(I),Diego Luna,12/29/79,"Mexico City, Distrito Federal, Mexico","['Rogue One', 'Y Tu Mamá También', 'The Book of Life', 'Open Range']",17,23,https://www.imdb.com/name/nm0526019/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0526019/awards?ref_=nm_ql_2
525,Miles Teller,Miles Teller,2/20/87,"Downingtown, Pennsylvania, USA","['Fantastic Four', 'The Spectacular Now', 'Whiplash', 'Insurgent']",4,22,https://www.imdb.com/name/nm1886602/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1886602/awards?ref_=nm_ql_2
526,Naomie Harris,Naomie Harris,9/6/76,"London, England, UK","['28 Days Later...', 'Moonlight', 'Skyfall', 'Collateral Beauty']",19,57,https://www.imdb.com/name/nm0365140/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0365140/awards?ref_=nm_ql_2
527,Jeff Goldblum,Jeff Goldblum,10/22/52,"Pittsburgh, Pennsylvania, USA","['The Grand Budapest Hotel', 'Jurassic Park', 'The Fly', 'Independence Day']",11,25,https://www.imdb.com/name/nm0000156/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000156/awards?ref_=nm_ql_2
528,Bill Murray(I),Bill Murray,9/21/50,"Wilmette, Illinois, USA","['Lost in Translation', 'Rushmore', 'Moonrise Kingdom', 'The Life Aquatic with Steve Zissou']",53,78,https://www.imdb.com/name/nm0000195/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000195/awards?ref_=nm_ql_2
529,Haley Lu Richardson,Haley Lu Richardson,3/7/95,"Phoenix, Arizona, USA","['Five Feet Apart', 'Columbus', 'The Edge of Seventeen', 'Split']",3,1,https://www.imdb.com/name/nm4726634/?ref_=adv_li_st_1,https://www.imdb.com/name/nm4726634/awards?ref_=nm_ql_2
530,Jason Isaacs,Jason Isaacs,6/6/63,"Liverpool, Merseyside, England, UK","['Harry Potter and the Chamber of Secrets', 'The Patriot', 'Peter Pan', 'Black Hawk Down']",4,17,https://www.imdb.com/name/nm0005042/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0005042/awards?ref_=nm_ql_2
531,Octavia Spencer,Octavia Spencer,5/25/72,"Montgomery, Alabama, USA","['Hidden Figures', 'The Help', 'Fruitvale Station', 'The Shack']",34,66,https://www.imdb.com/name/nm0818055/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0818055/awards?ref_=nm_ql_2
532,Eric Stonestreet,Eric Stonestreet,9/9/71,"Kansas City, Kansas, USA","['The Loft', 'Modern Family', 'Almost Famous', 'The Secret Life of Pets']",7,25,https://www.imdb.com/name/nm0832314/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0832314/awards?ref_=nm_ql_2
533,Haley Bennett,Haley Bennett,1/7/88,"Fort Myers, Florida, USA","['The Magnificent Seven', 'The Girl on the Train', 'Music and Lyrics', 'Marley & Me']",0,1,https://www.imdb.com/name/nm2247245/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2247245/awards?ref_=nm_ql_2
534,Matthew Zuk(I),Matthew Zuk,NA,NA,"['Doom Patrol', 'The 5th Wave', 'Greyhound', 'Avengers: Infinity War']",0,1,https://www.imdb.com/name/nm2832703/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2832703/awards?ref_=nm_ql_2
535,Nick Offerman(I),Nick Offerman,6/26/70,"Joliet, Illinois, USA","['Parks and Recreation', 'The Founder', 'Fargo', 'Nick Offerman: American Ham']",2,15,https://www.imdb.com/name/nm0644406/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0644406/awards?ref_=nm_ql_2
536,Sam Riley(II),Sam Riley,1/8/80,"Leeds, West Yorkshire, England, UK","['Control', 'Maleficent', 'Pride and Prejudice and Zombies', 'On the Road']",7,10,https://www.imdb.com/name/nm0727165/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0727165/awards?ref_=nm_ql_2
537,Paula Patton,Paula Patton,12/5/75,"Los Angeles, California, USA","['Precious', 'Mission: Impossible - Ghost Protocol', 'Deja Vu', 'Warcraft']",1,12,https://www.imdb.com/name/nm1745736/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1745736/awards?ref_=nm_ql_2
538,Mone Kamishiraishi,Mone Kamishiraishi,1/27/98,"Kagoshima, Japan","['Your Name.', 'Maiko wa redî', 'Chihayafuru Part I', 'Ookami kodomo no Ame to Yuki']",1,0,https://www.imdb.com/name/nm4759838/?ref_=adv_li_st_1,https://www.imdb.com/name/nm4759838/awards?ref_=nm_ql_2
539,Jung-woo Ha,Jung-woo Ha,3/11/78,NA,"['Shi gan', 'Hwanghae', 'The Handmaiden', 'The Chaser']",15,20,https://www.imdb.com/name/nm1978402/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1978402/awards?ref_=nm_ql_2
540,Jane Levy(II),Jane Levy,12/29/89,"Los Angeles County, California, USA","['Evil Dead', 'Suburgatory', ""Don't Breathe""]",0,2,https://www.imdb.com/name/nm3994408/?ref_=adv_li_st_1,https://www.imdb.com/name/nm3994408/awards?ref_=nm_ql_2
541,Kathryn Hahn,Kathryn Hahn,7/23/73,"Westchester, Illinois, USA","['Afternoon Delight', 'Transparent', 'Free Agents', 'Bad Moms']",2,9,https://www.imdb.com/name/nm1063517/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1063517/awards?ref_=nm_ql_2
542,Pablo Schreiber,Pablo Schreiber,4/26/78,"Ymir, British Columbia, Canada","['13 Hours', 'Den of Thieves', 'Orange Is the New Black', 'Bubble Boy']",3,2,https://www.imdb.com/name/nm1032567/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1032567/awards?ref_=nm_ql_2
543,Samantha Scaffidi,Samantha Scaffidi,NA,NA,"['Demon Hole', 'The Grind TV 1.0', 'Terrifier', 'Sam']",NA,NA,https://www.imdb.com/name/nm5394181/?ref_=adv_li_st_1,https://www.imdb.com/name/nm5394181/awards?ref_=nm_ql_2
544,Gabriel Bateman,Gabriel Bateman,NA,NA,"[""Child's Play"", 'Lights Out', 'Playmobil: The Movie', 'Outcast']",NA,NA,https://www.imdb.com/name/nm5145655/?ref_=adv_li_st_1,https://www.imdb.com/name/nm5145655/awards?ref_=nm_ql_2
545,Christina Hendricks,Christina Hendricks,5/3/75,"Knoxville, Tennessee, USA","['Ginger & Rosa', 'The Neon Demon', 'Mad Men', 'Lost River']",13,29,https://www.imdb.com/name/nm0376716/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0376716/awards?ref_=nm_ql_2
546,Emile Hirsch,Emile Hirsch,3/13/85,"Palms, California, USA","['Into the Wild', 'The Girl Next Door', 'Speed Racer', 'Milk']",6,25,https://www.imdb.com/name/nm0386472/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0386472/awards?ref_=nm_ql_2
547,George MacKay(I),George MacKay,3/13/92,"London, England, UK","['Captain Fantastic', 'Peter Pan', 'Pride', 'How I Live Now']",5,6,https://www.imdb.com/name/nm1126657/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1126657/awards?ref_=nm_ql_2
548,Golshifteh Farahani,Golshifteh Farahani,7/10/83,"Tehran, Iran","['Paterson', 'Darbareye Elly', 'Pirates of the Caribbean: Dead Men Tell No Tales', 'Body of Lies']",5,8,https://www.imdb.com/name/nm0267042/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0267042/awards?ref_=nm_ql_2
549,Natalie Krill,Natalie Krill,NA,NA,"['Below Her Mouth', 'Hollywoodland', ""Molly's Game"", 'Wynonna Earp']",NA,NA,https://www.imdb.com/name/nm2087783/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2087783/awards?ref_=nm_ql_2
550,Anna Kendrick(I),Anna Kendrick,8/9/85,"Portland, Maine, USA","['Up in the Air', 'Pitch Perfect', 'Pitch Perfect 2', 'Trolls']",16,71,https://www.imdb.com/name/nm0447695/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0447695/awards?ref_=nm_ql_2
